,WikipediaPageName,links
67,Cam'ron,"['Juelz Santana', 'Jay-Z', 'Big L', 'Mase', 'Freekey Zekey', 'Vado (rapper)', 'Mase', 'The Notorious B.I.G.', 'The Notorious B.I.G.', 'Juelz Santana', 'N.O.R.E.', 'Jay-Z', 'Beanie Sigel', 'Memphis Bleek', 'Beanie Sigel', 'Memphis Bleek', 'Just Blaze', 'Juelz Santana', 'Juelz Santana', 'Just Blaze', 'Ty Fyffe', '50 Cent', 'AraabMuzik', 'DJ Drama', 'Vado (rapper)', 'Juelz Santana', 'Freekey Zekey', 'AraabMuzik', 'Wiz Khalifa', 'Wiz Khalifa', 'Juelz Santana', 'Juelz Santana', 'Funkmaster Flex', 'Juelz Santana', 'Swizz Beatz', 'Mase', 'The Notorious B.I.G.', 'Just Blaze', 'Beanie Sigel', '50 Cent', 'Lloyd Banks', 'Vado (rapper)', 'Vado (rapper)']"
68,Canibus,"['Big Pun', 'Mos Def', 'Method Man', 'Redman (rapper)', 'Kurupt', 'Ras Kass', 'Pharoahe Monch', 'Rakim', 'Kool G Rap', 'DJ Premier', 'Jake One', 'Kurupt', 'Ras Kass', 'Keith Murray', 'Cappadonna', 'Pete Rock']"
69,Don Cannon,"['DJ Drama', 'DJ Drama', 'Lecrae', 'Young Chris', 'DJ Drama', 'DJ Drama', '50 Cent', 'Fabolous', 'Jay-Z', '50 Cent', 'Skeme']"
70,Capella Grey,"['Ty Dolla Sign', 'DJ Drama', 'Fabolous', 'Benny the Butcher', 'Joey Badass', 'Ty Dolla Sign', 'Sean Combs', '50 Cent', 'Ty Dolla Sign', 'DJ Drama', 'Fabolous', 'Benny the Butcher', 'Red Café', 'CJ (rapper)', 'Joey Badass', 'Busta Rhymes', 'DJ Drama', 'Fabolous', 'Benny the Butcher', 'CJ (rapper)', 'Joey Badass']"
71,Capital Steez,"['Joey Badass', 'Joey Badass', 'CJ Fly', 'Madlib', 'DJ Premier', 'Knxwledge', 'Kirk Knight', 'Joey Badass', 'ASAP Twelvyy', 'Styles P', 'Joey Badass', 'CJ Fly']"
72,Capone (rapper),"['Nas', 'N.O.R.E.', 'N.O.R.E.', 'Daz Dillinger']"
73,Cappadonna,"['Ghostface Killah', 'U-God', 'Method Man', 'Ghostface Killah', 'RZA', 'Ghostface Killah', 'Canibus']"
74,Kid Capri,"['Big L', 'Jay-Z', 'Nas', 'KRS-One', 'Warren G', 'Big Pun', 'Snoop Dogg', 'Foxy Brown (rapper)', 'Kendrick Lamar', 'Heavy D', 'Big L', 'Sean Combs', 'Rakim', 'Kendrick Lamar', 'Big L', 'Big L', 'Ghostface Killah']"
75,Cardi B,"[""Lil' Kim"", 'Remy Ma', 'MC Lyte', 'Young M.A', 'Queen Latifah', 'Saweetie', ""Lil' Kim"", 'MC Lyte', 'Snoop Dogg']"
76,Cardiak,"['Joe Budden', 'Lloyd Banks', 'Meek Mill', 'Fabolous', 'Dr. Dre', 'Lloyd Banks', 'Swizz Beatz', 'Fabolous', 'Tony Yayo', 'Styles P', 'Joe Budden', 'Lloyd Banks', 'Beanie Sigel', 'Beanie Sigel', 'Tony Yayo', 'Styles P', 'Swizz Beatz', 'Fabolous', 'Lloyd Banks', 'Fabolous', 'Jadakiss', 'Fabolous', 'Cory Gunz', 'Meek Mill', 'DJ Drama', 'Young Chris', 'Young Chris', 'French Montana', 'Meek Mill', 'Nipsey Hussle', 'Lloyd Banks', 'DJ Drama', 'Jadakiss', 'Nipsey Hussle', 'Meek Mill', 'Meek Mill', 'Joe Budden', 'Ab-Soul', 'Casey Veggies', 'Fabolous', 'Joe Budden', 'The Game (rapper)', 'Sean Combs', 'Kid Ink', 'Dr. Dre', 'Kendrick Lamar', 'DJ Dahi', 'Jill Scott (singer)', 'Fabolous', 'Macklemore', 'Snoop Dogg', 'Beanie Sigel', 'Cory Gunz', 'Mistah F.A.B.', '50 Cent', 'Kid Ink', 'Young Chris', 'Lloyd Banks', '50 Cent', 'Just Blaze', 'Dave East', 'ASAP Ferg', 'Lloyd Banks', 'Fabolous', 'Swizz Beatz', 'Jadakiss', 'Lloyd Banks', 'French Montana']"
